smiles,name
c1(c(nc([nH]1)c2[nH]c(c(n2)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],"4,4’,5,5’-Tetranitro biimidazole"
C1=C(C=C(C(=C1[N+](=O)[O-])N2C(=CN=C2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],"2,4-Dinitro-1-picrylimidazole"
O=N(=O)c2cc(N(=O)=O)c(n1ccnc1N(=O)=O)c(N(=O)=O)c2,2-Nitro-1-picrylimidazole
O=N(=O)c2cc(N(=O)=O)c(n1cnc(N(=O)=O)c1)c(N(=O)=O)c2,4-Nitro-1-picrylimidazole
O=N(=O)c2cc(N(=O)=O)c(n1ccnc1)c(N(=O)=O)c2,1-Picrylimidazole
O=N(=O)c2cnn(c1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)c2,4-Nitro-1-picrylpyrazole
O=N(=O)c2cc(N(=O)=O)c(Nc1n[nH]cc1N(=O)=O)c(N(=O)=O)c2,4-Nitro-3-picrylaminopyrazole
Cn2nc(N(=O)=O)c(c1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)c2N(=O)=O,"3,5-Dinitro-1-methyl-4-picrylpyrazole"
Cn2nc(N(=O)=O)c(Nc1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)c2N(=O)=O,"3,5-Dinitro-1-methyl-4-picrylaminopyrazole"
C1=C(C=C(C(=C1[N+](=O)[O-])C2=CN(N=C2)C3=C(C=C(C=C3[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],"1,4-Dipicrylpyrazole"
O=N(=O)Nc1nonc1c3noc(c2nonc2NN(=O)=O)no3,1a
Nc2nn(c1nnn[nH]1)c(N)c2N(=O)=O,
Nc2nc(N)n1nc(N)c(N(=O)=O)c1n2,
O=N(=O)C(CNc1nnn[nH]1)(N(=O)=O)N(=O)=O,
CN1C(=NN=N1)NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],
CON1C(=NN=N1)NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],
CCOn1nnnc1NCC(N(=O)=O)(N(=O)=O)N(=O)=O,
O=N(=O)C(CNc1nnnn1CCn2nnnc2NCC(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,
O=N(=O)C(CNc1nnnn1CCCn2nnnc2NCC(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,
O=N(=O)C(CNc1nnnn1CCCCn2nnnc2NCC(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,
O=N(=O)C(CNc1nnnn1OCCOn2nnnc2NCC(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,
Nc2c1[nH]nnc1nnn2=O,Azol?   4
Nc2c1cn[nH]c1nnn2=O,Azol?   5
Nc2c1nc[nH]c1nnn2=O,
c4nnc(Nc1nonc1/N=N/c2nonc2Nc3nncnn3)nn4,
O=N(=N\c1nonc1Nc2nncnn2)/c3nonc3Nc4nncnn4,
Nc1n(=O)ncnn1=O,
c3nnc(N(c1nncnn1)c2nncnn2)nn3,
Nc2c1cn[nH]c1nnn2=O,
N#Cc2c(c1noc(N)n1)non2=O,
Nc3nc(c2c(c1nnn[nH]1)non2=O)no3,
O=N(=O)Nc3nc(c2c(c1nnn[nH]1)non2=O)no3,
N#N=Nc1nonc1c2nnnn2O,
Cn1nc(C#N)c(/C(N)=N/O)n1,
O=N(=O)Nc1nonc1c2noc(C(N(=O)=O)N(=O)=O)n2,2a
O=N(=O)/C1=N/N=C(N(=O)=O)\C1,
O=N(=O)c2cc(N(=O)=O)c(Nc1nnc[nH]1)c(N(=O)=O)c2,PATO-NMP Pure
COc1ccc(N(=O)=O)cc1N(=O)=O,DNAN
COc1ccc(N(=O)=O)cc1N(=O)=O,"2,4-dinitroanisole (DNAN)"
O=N(=O)C(CO)(CO)N(=O)=O,"2,2-dinitropropane-1,3diol (DNPD)"
CC(CO)(N(=O)=O)N(=O)=O,dinitropropanol
C=CC(=O)OCC(C)(N(=O)=O)N(=O)=O,"dinitropropylacrylate (assumed 2,2 dinitro)"
CNc1nn(=O)c(N(=O)=O)c(NC)c1N(=O)=O,Klapotke 1
CN(c1nn(=O)c(N(=O)=O)c(N(C)N(=O)=O)c1N(=O)=O)N(=O)=O,Klapotke 2
CN(C)c1nn(=O)c(N(=O)=O)c(N(C)C)c1N(=O)=O,Klapotke 3
O=N(=O)c1c(NCCO)nn(=O)c(N(=O)=O)c1NCCO,Klapotke 4
O=C(NN(=O)=O)OCC(COC(=O)NN(=O)=O)(N(=O)=O)C(COC(=O)NN(=O)=O)(COC(=O)NN(=O)=O)N(=O)=O,Klapotke 5
O=C(NN(=O)=O)OC1C(OC(=O)NN(=O)=O)C(N(=O)=O)C(OC(=O)NN(=O)=O)C(OC(=O)NN(=O)=O)C1N(=O)=O,Klapotke 6
O=C(NN(=O)=O)OC1OC2C(OC(=O)NN(=O)=O)OC3C(OC(=O)NN(=O)=O)OC1C23N(=O)=O,Klapotke 7
N#N=NCC(O)CN=N#N,Klapotke 8
N#N=NCC(CO)N=N#N,Klapotke 9
N#N=NCCOC(=O)CC(=O)OCCN=N#N,Klapotke 10
N#N=NCC(CN=N#N)OC(=O)CC(=O)OC(CN=N#N)CN=N#N,Klapotke 11
N#N=NCC(COC(=O)CC(=O)OCC(CN=N#N)N=N#N)N=N#N,Klapotke 12
N#N=NCCOC(=O)C(N=N#N)(N=N#N)C(=O)OCCN=N#N,Klapotke 13
N#N=NCC(CN=N#N)OC(=O)C(N=N#N)(N=N#N)C(=O)OC(CN=N#N)CN=N#N,Klapotke 14
N#N=NCC(COC(=O)C(N=N#N)(N=N#N)C(=O)OCC(CN=N#N)N=N#N)N=N#N,Klapotke 15
NC(=O)Nc1nonc1N(=O)=O,Klapotke 16
O=C(Nc1nonc1N(=O)=O)NN(=O)=O,Klapotke 17
NC(=O)Nc1nonc1NC(N)=O,Klapotke 18
O=C(Nc1nonc1NC(=O)NN(=O)=O)NN(=O)=O,Klapotke 19
O=N(=O)OCCN(CCON(=O)=O)C(CON(=O)=O)(CON(=O)=O)CON(=O)=O,Klapotke 20
O=C(CC(=O)NC(CON(=O)=O)(CON(=O)=O)CON(=O)=O)NC(CON(=O)=O)(CON(=O)=O)CON(=O)=O,Klapotke 21
O=C(O)CN(N(=O)=O)C(CON(=O)=O)(CON(=O)=O)CON(=O)=O,Klapotke 22
O=N(=O)OCC(CON(=O)=O)(CON(=O)=O)N(CC(CN(N(=O)=O)C(CON(=O)=O)(CON(=O)=O)CON(=O)=O)ON(=O)=O)N(=O)=O,Klapotke 23
O=C1OCC(ON(=O)=O)(ON(=O)=O)N1N(=O)=O,Klapotke 24
O=C(NN(=O)=O)OC12CC3(OC(=O)NN(=O)=O)CC(OC(=O)NN(=O)=O)(C1)CC(OC(=O)NN(=O)=O)(C2)C3,Klapotke 25
O=N(=O)OC12CC3(ON(=O)=O)CC(ON(=O)=O)(C1)CC(ON(=O)=O)(C2)C3,Klapotke 26
Nc2nnc(c1nnc(N)o1)o2,Klapotke 27
O=N(=O)Nc2nnc(c1nnc(NN(=O)=O)o1)o2,Klapotke 28
O=C(OOC(=O)c1ccc(N(=O)=O)cc1)c2ccc(N(=O)=O)cc2,Klapotke 29
O=C(OOC(=O)c1cccc(N(=O)=O)c1)c2cccc(N(=O)=O)c2,Klapotke 30
O=C(OOC(=O)c1cc(N(=O)=O)cc(N(=O)=O)c1)c2cc(N(=O)=O)cc(N(=O)=O)c2,Klapotke 31
O=C(OOC(=O)c1cccc(N(=O)=O)c1)c2ccc(N(=O)=O)cc2,Klapotke 32
O=C(OOC(=O)c1cc(N(=O)=O)cc(N(=O)=O)c1)c2cccc(N(=O)=O)c2,Klapotke 33
O=C(OOC(=O)c1cc(N(=O)=O)cc(N(=O)=O)c1)c2ccc(N(=O)=O)cc2,Klapotke 34
O=C(OOC(=O)c1ccc(N(=O)=O)cc1)c3ccc(C(=O)OOC(=O)c2ccc(N(=O)=O)cc2)cc3,Klapotke 35
O=C(OOC(=O)c1cc(N(=O)=O)cc(N(=O)=O)c1)c3ccc(C(=O)OOC(=O)c2cc(N(=O)=O)cc(N(=O)=O)c2)cc3,Klapotke 36
CC(C)(C)OOC1(N=N#N)CCC(N=N#N)(OOC(C)(C)C)CC1,Klapotke 38
CC(C)(C)OOC(N=N#N)c1ccc(C(N=N#N)OOC(C)(C)C)cc1,Klapotke 40
CC(C)(C)OOC(N=N#N)c1ccccc1C(N=N#N)OOC(C)(C)C,Klapotke 41
CC(C)(C)OOC2(N=N#N)CCC(C1CCC(N=N#N)(OOC(C)(C)C)CC1)CC2,Klapotke 42
O=C(O)CCN(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O,Klapotke 43
O=C(CCN(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O,Klapotke 44
N#N=NC(=O)CCN(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O,Klapotke 45
O=C(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)N(CCN(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,Klapotke 46
O=C(O)C[C@@H](C(=O)O)N(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O,Klapotke 47
O=C(C[C@@H](C(=O)O)N(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O,Klapotke 48
CC(NC(=O)NC(C)C(N(=O)=O)(N(=O)=O)N(=O)=O)C(N(=O)=O)(N(=O)=O)N(=O)=O,Klapotke 49
CC(OC(N)=O)C(N(=O)=O)(N(=O)=O)N(=O)=O,Klapotke 50
CC(OC(=O)NN(=O)=O)C(N(=O)=O)(N(=O)=O)N(=O)=O,Klapotke 51
O=C(NCC(N(=O)=O)(N(=O)=O)N(=O)=O)NCC(N(=O)=O)(N(=O)=O)N(=O)=O,Klapotke 52
NC(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O,Klapotke 53
O=C(NN(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O,Klapotke 54
O=C(NCCC(N(=O)=O)(N(=O)=O)N(=O)=O)NCCC(N(=O)=O)(N(=O)=O)N(=O)=O,Klapotke 55
NC(=O)OCCC(N(=O)=O)(N(=O)=O)N(=O)=O,Klapotke 56
O=C(NN(=O)=O)OCCC(N(=O)=O)(N(=O)=O)N(=O)=O,Klapotke 57
O=C(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)C(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O,Klapotke 58
O=C(OCCC(N(=O)=O)(N(=O)=O)N(=O)=O)C(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O,Klapotke 59
