id,name,formula,smiles,exp_dhf_kcal_mol,source,category
499,Ethanethiol,C2H6S,CCS,-10.893881,ATcT_v1.220,sulfur
500,Dichloromethane,CH2Cl2,ClCCl,-22.397228,ATcT_v1.220,chlorinated
501,Difluoromethane,CH2F2,FCF,-107.774857,ATcT_v1.220,fluorinated
502,Isocyanic acid,CHNO,N=C=O,-28.420172,ATcT_v1.220,small_CHNO
503,Carbon disulfide,CS2,S=C=S,27.93021,ATcT_v1.220,sulfur
504,Formaldoxime,CH3NO,C=NO,4.780115,ATcT_v1.220,small_CHNO
505,Dimethyl sulfide,C2H6S,CSC,-8.783461,ATcT_v1.220,sulfur
506,"1,1-Dichloroethane",C2H4Cl2,CC(Cl)Cl,-31.771033,ATcT_v1.220,chlorinated
507,"1,1-Dichloroethene",C2H2Cl2,C=C(Cl)Cl,0.791109,ATcT_v1.220,chlorinated
508,"1,1-Difluoroethane",C2H4F2,CC(F)F,-120.155354,ATcT_v1.220,fluorinated
509,"1,1-Difluoroethene",C2H2F2,C=C(F)F,-83.809751,ATcT_v1.220,fluorinated
510,Fluorodichloromethane,CHCl2F,FC(Cl)Cl,-67.657744,ATcT_v1.220,fluorinated
511,Phosgene,CCl2O,O=C(Cl)Cl,-52.385277,ATcT_v1.220,chlorinated
512,Chlorodifluoromethane,CHClF2,FC(F)Cl,-115.145793,ATcT_v1.220,fluorinated
513,Fluoroform,CHF3,FC(F)F,-166.402964,ATcT_v1.220,fluorinated
514,2-Methyl-2-propanamine,C4H11N,CC(C)(C)N,-28.838432,ATcT_v1.220,small_CHNO
515,2-Methyl-2-propanol,C4H10O,CC(C)(C)O,-74.59369,ATcT_v1.220,small_CHNO
516,Fluorotrichloromethane,CCl3F,FC(Cl)(Cl)Cl,-68.446463,ATcT_v1.220,fluorinated
517,Dichlorodifluoromethane,CCl2F2,FC(F)(Cl)Cl,-117.844168,ATcT_v1.220,fluorinated
518,Chlorotrifluoromethane,CClF3,FC(F)(F)Cl,-169.543499,ATcT_v1.220,fluorinated
519,Tetrafluoromethane,CF4,FC(F)(F)F,-223.135755,ATcT_v1.220,fluorinated
520,Dichloroacetylene,C2Cl2,ClC#CCl,56.441205,ATcT_v1.220,chlorinated
521,Pentachloroethane,C2HCl5,ClC(Cl)C(Cl)(Cl)Cl,-37.404398,ATcT_v1.220,chlorinated
522,Hexafluoroethane,C2F6,FC(F)(F)C(F)(F)F,-320.82935,ATcT_v1.220,fluorinated
523,Cyanic azide,CN4,N#CN=[N+]=[N-],119.120459,ATcT_v1.220,small_CHNO
524,Hydrogen chloride,HCl,Cl,-22.029637,ATcT_v1.220,chlorinated
525,Hydrogen fluoride,HF,F,-65.181883,ATcT_v1.220,fluorinated
526,1-Chloropropyne,C3H3Cl,CC#CCl,44.909178,ATcT_v1.220,chlorinated
527,Difluorine,F2,FF,0.0,ATcT_v1.220,fluorinated
528,Dioxygen,O2,O=O,0.0,ATcT_v1.220,small_CHNO
529,Dichlorine,Cl2,ClCl,0.0,ATcT_v1.220,chlorinated
530,Nitrous acid,HNO2,O=NO,-18.907027,ATcT_v1.220,small_CHNO
531,Hydrazoic acid,HN3,[N-]=[N+]=N,69.725143,ATcT_v1.220,small_CHNO
532,Hydrogen sulfide,H2S,S,-4.851816,ATcT_v1.220,sulfur
533,Nitrogen trifluoride,F3N,FN(F)F,-31.455545,ATcT_v1.220,fluorinated
534,Nitrosyl fluoride,FNO,O=NF,-20.991874,ATcT_v1.220,fluorinated
535,Chlorine fluoride,ClF,FCl,-13.315488,ATcT_v1.220,fluorinated
536,Hypochlorous acid,HClO,OCl,-18.351099,ATcT_v1.220,chlorinated
537,Chloro hypochlorite,Cl2O,ClOCl,18.637667,ATcT_v1.220,chlorinated
538,Hydroxylamine,H3NO,NO,-10.380019,ATcT_v1.220,small_CHNO
539,"1,1,2-Trichloroethane",C2H3Cl3,ClCC(Cl)Cl,-35.205545,ATcT_v1.220,chlorinated
540,Trichloroethene,C2HCl3,ClC=C(Cl)Cl,-3.393881,ATcT_v1.220,chlorinated
541,"1,1,2,2-Tetrachloroethane",C2H2Cl4,ClC(Cl)C(Cl)Cl,-37.308795,ATcT_v1.220,chlorinated
542,Divinylacetylene,C6H6,C=CC#CC=C,83.771511,ATcT_v1.220,hydrocarbon
543,Thioformaldehyde,CH2S,C=S,28.107075,ATcT_v1.220,sulfur
544,Nitrosomethane,CH3NO,CN=O,16.983748,ATcT_v1.220,small_CHNO
545,"Hypochloroperoxoous acid, hydroxy ester",HClO3,OOOCl,9.918738,ATcT_v1.220,chlorinated
546,Isocyanobenzene,C7H5N,[C-]#[N+]c1ccccc1,73.398662,ATcT_v1.220,small_CHNO
