NAME,FORMULA,DHF,ID,,
Hydrogen bromide,"HBr (aq, 55.51 H2O)",-119.18,10035-10-6*891,,
Hydrogen bromide,"HBr (aq, 111 H2O)",-119.55,10035-10-6*892,,
Hydrogen bromide,"HBr (aq, 555.1 H2O)",-119.99,10035-10-6*895,,
Hydrogen bromide,"HBr (aq, 2500 H2O)",-120.23,10035-10-6*898,,
Hydrogen bromide,"HBr (aq, 2570 H2O)",-120.24,10035-10-6*952,,
Hydrogen bromide,"HBr (aq, 1250 H2O)",-120.14,10035-10-6*954,,
Hydrogen bromide,"HBr (aq, 2640 H2O)",-120.24,10035-10-6*957,,
Tetrafluorohydrazine,NF2NF2 (g),-22.5,10036-47-2*0,,
Tetrafluorohydrazine,"NF2NF2 (g, trans)",-22.9,10036-47-2*1,,
Tetrafluorohydrazine,"NF2NF2 (g, gauche)",-22.1,10036-47-2*2,,
Diazene anion,"[HNNH]- (g, trans-cis-iso equilib)",258.8,100429-75-2*0,,
Diazene anion,"[HNNH]- (g, trans-cis equilib)",258.8,100429-75-2*1,,
Boron nitride,BN (g),606.05,10043-11-5*0,,
