method,n_conformers,model,n_params,subset,n_molecules,adj_r2,rmsd,mad,max_dev,cv_rmsd,time_sec,hardware
xTB,5.0,bondorder_ar,12,cawkwell,102,0.9532467476930012,8.863269048570638,6.815219106552801,26.32215813335715,10.76314125660895,15.13824462890625,CPU
xTB,5.0,extended,14,cawkwell,102,0.91221992647118,12.007445171980674,8.172933537524647,45.08262993809244,14.14613763936948,15.13824462890625,CPU
xTB,5.0,neighbour,22,cawkwell,102,0.9622797108856688,7.500566534276685,4.380932911130702,49.526628018758494,994.2274432878786,15.13824462890625,CPU
DFT-B (lit),,4param,4,cawkwell,103,,7.59,,25.48,,,
DFT-B (lit),,7param,7,cawkwell,103,,6.08,,15.01,,,
gXTB,1.0,4param,4,all,310,0.9881526217043742,4.0120520143432366,3.0126129245958664,15.004221837996738,4.153442960863044,15.363017082214355,CPU
gXTB,1.0,7param,7,all,310,0.991399752827951,3.4014527707220656,2.428334880849768,13.59084222036472,3.630747795716984,15.363017082214355,CPU
gXTB,1.0,hybrid,9,all,310,0.9906443844732796,3.535919079204376,2.4652396632095748,13.737845655493444,3.8533000558482495,15.363017082214355,CPU
gXTB,1.0,bondorder,9,all,310,0.9920660431497534,3.2561998471124967,2.352661970496054,11.4288503686752,3.6314384806136335,15.363017082214355,CPU
gXTB,1.0,bondorder_ext,15,all,310,0.9924359274565716,3.147436775877808,2.307253070158632,10.986237121460732,3.596576133192525,15.363017082214355,CPU
gXTB,1.0,bondorder_ar,12,all,310,0.9920707854616082,3.2389095203838614,2.356321962975568,11.029030870404682,3.6957519532868655,15.363017082214355,CPU
gXTB,1.0,extended,14,all,310,0.9910567859311712,3.4281777216428098,2.4211142369023424,14.114769023922278,3.836694410398073,15.363017082214355,CPU
gXTB,1.0,neighbour,22,all,310,0.9926538755624392,3.0646126917116137,2.1982600356263142,15.775966006121598,10601.13336133747,15.363017082214355,CPU
gXTB,1.0,4param,4,cawkwell,102,0.9846164491847051,5.307709903126079,4.177250921981329,14.543019771954278,5.5682907787710185,15.363017082214355,CPU
gXTB,1.0,7param,7,cawkwell,102,0.9896180856493532,4.292355299050824,3.309654549426249,11.839196517830716,4.823658430244823,15.363017082214355,CPU
gXTB,1.0,hybrid,9,cawkwell,102,0.9871441405226736,4.725388149305226,3.5858234149849317,15.116568610966212,5.2589643074501895,15.363017082214355,CPU
gXTB,1.0,bondorder,9,cawkwell,102,0.991257380595966,3.896796403268759,3.0065305472010078,10.939023301447747,4.646137874934476,15.363017082214355,CPU
gXTB,1.0,bondorder_ext,15,cawkwell,102,0.9913711723597745,3.74298544629218,2.857627053140325,10.523532616169549,4.7372052533969775,15.363017082214355,CPU
gXTB,1.0,bondorder_ar,12,cawkwell,102,0.9911887957304713,3.8477394308096335,2.9821181761397373,10.721985380069242,4.672329544019918,15.363017082214355,CPU
gXTB,1.0,extended,14,cawkwell,102,0.9872145979036134,4.582577702239562,3.4094128475764025,14.00556035324466,5.344431724444512,15.363017082214355,CPU
gXTB,1.0,neighbour,22,cawkwell,102,0.99154932200898,3.550196063927453,2.548626951580857,15.533310208376497,18665.298676562372,15.363017082214355,CPU
gXTB,3.0,4param,4,all,310,0.988197601073455,4.004428759161535,3.0011304279527136,15.198634650485474,4.141311637968428,15.198171615600586,CPU
gXTB,3.0,7param,7,all,310,0.9913812846194164,3.4051029594716766,2.4292279662559224,13.906241266464349,3.631254744298708,15.198171615600586,CPU
gXTB,3.0,hybrid,9,all,310,0.9906594260217468,3.533075487958848,2.457289353384764,13.748862439380034,3.847979655972227,15.198171615600586,CPU
gXTB,3.0,bondorder,9,all,310,0.99206777070134,3.2558453229094826,2.350257405824542,11.617497548961552,3.630027533163508,15.198171615600586,CPU
gXTB,3.0,bondorder_ext,15,all,310,0.9924328201532536,3.14808318933316,2.3086821147492524,11.141529196660857,3.5946792741866087,15.198171615600586,CPU
gXTB,3.0,bondorder_ar,12,all,310,0.992065290537832,3.2400316036935424,2.356266400891037,11.250392490465316,3.6944124369624793,15.198171615600586,CPU
gXTB,3.0,extended,14,all,310,0.9910655296319796,3.4265014624013066,2.4155397146029083,14.103389295362874,3.8301413936131463,15.198171615600586,CPU
gXTB,3.0,neighbour,22,all,310,0.9926742941519404,3.0603506749484075,2.1924506324126303,15.801444137957878,10601.12836540613,15.198171615600586,CPU
gXTB,3.0,4param,4,cawkwell,102,0.9848415655196396,5.268731395065747,4.125510610766637,14.733947122876998,5.495865347676404,15.198171615600586,CPU
gXTB,3.0,7param,7,cawkwell,102,0.989647269710082,4.286318044683259,3.290840510215161,12.160489510017214,4.774764888810711,15.198171615600586,CPU
